Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='curvenet_cls', k=20, lr=0.001, model='curvenet_cls', model_path='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.553381, train acc: 0.519442, train avg acc: 0.363914
Test 0, loss: 2.284505, test acc: 0.611831, test avg acc: 0.517733
Train 1, loss: 2.185607, train acc: 0.657268, train avg acc: 0.527235
Test 1, loss: 1.940870, test acc: 0.726904, test avg acc: 0.651843
Train 2, loss: 2.008967, train acc: 0.723432, train avg acc: 0.599584
Test 2, loss: 1.879364, test acc: 0.752836, test avg acc: 0.693610
Train 3, loss: 1.906084, train acc: 0.764353, train avg acc: 0.659032
Test 3, loss: 1.748453, test acc: 0.816451, test avg acc: 0.765576
Train 4, loss: 1.851210, train acc: 0.785627, train avg acc: 0.687008
Test 4, loss: 1.726572, test acc: 0.833063, test avg acc: 0.764762
Train 5, loss: 1.819152, train acc: 0.798860, train avg acc: 0.702477
Test 5, loss: 1.721637, test acc: 0.838736, test avg acc: 0.772209
Train 6, loss: 1.772816, train acc: 0.817284, train avg acc: 0.726595
Test 6, loss: 1.685837, test acc: 0.850486, test avg acc: 0.772616
Train 7, loss: 1.751429, train acc: 0.826954, train avg acc: 0.741957
Test 7, loss: 1.665793, test acc: 0.855348, test avg acc: 0.791884
Train 8, loss: 1.740417, train acc: 0.830008, train avg acc: 0.746824
Test 8, loss: 1.660230, test acc: 0.852917, test avg acc: 0.783762
Train 9, loss: 1.720534, train acc: 0.841307, train avg acc: 0.762723
Test 9, loss: 1.622786, test acc: 0.871151, test avg acc: 0.815971
Train 10, loss: 1.698032, train acc: 0.847313, train avg acc: 0.771484
Test 10, loss: 1.651796, test acc: 0.856969, test avg acc: 0.812669
Train 11, loss: 1.687919, train acc: 0.853624, train avg acc: 0.781313
Test 11, loss: 1.616611, test acc: 0.874797, test avg acc: 0.820087
Train 12, loss: 1.673256, train acc: 0.861156, train avg acc: 0.794086
Test 12, loss: 1.616116, test acc: 0.884117, test avg acc: 0.846628
Train 13, loss: 1.666446, train acc: 0.860342, train avg acc: 0.784649
Test 13, loss: 1.592031, test acc: 0.884117, test avg acc: 0.815703
Train 14, loss: 1.650977, train acc: 0.863192, train avg acc: 0.794394
Test 14, loss: 1.575398, test acc: 0.882091, test avg acc: 0.831029
Train 15, loss: 1.652159, train acc: 0.867264, train avg acc: 0.801837
Test 15, loss: 1.575664, test acc: 0.894246, test avg acc: 0.837919
Train 16, loss: 1.637970, train acc: 0.873982, train avg acc: 0.809402
Test 16, loss: 1.586452, test acc: 0.895867, test avg acc: 0.861500
Train 17, loss: 1.629779, train acc: 0.873677, train avg acc: 0.808300
Test 17, loss: 1.579189, test acc: 0.897488, test avg acc: 0.842494
Train 18, loss: 1.615616, train acc: 0.882024, train avg acc: 0.823750
Test 18, loss: 1.572695, test acc: 0.890194, test avg acc: 0.849163
Train 19, loss: 1.607200, train acc: 0.885383, train avg acc: 0.826906
Test 19, loss: 1.582655, test acc: 0.888169, test avg acc: 0.847238
Train 20, loss: 1.610623, train acc: 0.883550, train avg acc: 0.824119
Test 20, loss: 1.569853, test acc: 0.888979, test avg acc: 0.847105
Train 21, loss: 1.606241, train acc: 0.884874, train avg acc: 0.823632
Test 21, loss: 1.554440, test acc: 0.892626, test avg acc: 0.843506
Train 22, loss: 1.604799, train acc: 0.886808, train avg acc: 0.828303
Test 22, loss: 1.558887, test acc: 0.896272, test avg acc: 0.848273
Train 23, loss: 1.594975, train acc: 0.891694, train avg acc: 0.838561
Test 23, loss: 1.550027, test acc: 0.886143, test avg acc: 0.840919
Train 24, loss: 1.593072, train acc: 0.889454, train avg acc: 0.833797
Test 24, loss: 1.547546, test acc: 0.898703, test avg acc: 0.850453
Train 25, loss: 1.592162, train acc: 0.887622, train avg acc: 0.828789
Test 25, loss: 1.590366, test acc: 0.882091, test avg acc: 0.833814
Train 26, loss: 1.586758, train acc: 0.891897, train avg acc: 0.836839
Test 26, loss: 1.581689, test acc: 0.895462, test avg acc: 0.847006
Train 27, loss: 1.578960, train acc: 0.897598, train avg acc: 0.844414
Test 27, loss: 1.533518, test acc: 0.909643, test avg acc: 0.862384
Train 28, loss: 1.573108, train acc: 0.898921, train avg acc: 0.846831
Test 28, loss: 1.565433, test acc: 0.895462, test avg acc: 0.858744
Train 29, loss: 1.572497, train acc: 0.896376, train avg acc: 0.842791
Test 29, loss: 1.543194, test acc: 0.890600, test avg acc: 0.856884
Train 30, loss: 1.570240, train acc: 0.899226, train avg acc: 0.847935
Test 30, loss: 1.529029, test acc: 0.899514, test avg acc: 0.861215
Train 31, loss: 1.564603, train acc: 0.901873, train avg acc: 0.849873
Test 31, loss: 1.536715, test acc: 0.896677, test avg acc: 0.849430
Train 32, loss: 1.565059, train acc: 0.900346, train avg acc: 0.848004
Test 32, loss: 1.546312, test acc: 0.889789, test avg acc: 0.853134
Train 33, loss: 1.561226, train acc: 0.901771, train avg acc: 0.849670
Test 33, loss: 1.540174, test acc: 0.909643, test avg acc: 0.873064
Train 34, loss: 1.556484, train acc: 0.904520, train avg acc: 0.854001
Test 34, loss: 1.524601, test acc: 0.895867, test avg acc: 0.848680
Train 35, loss: 1.556314, train acc: 0.902077, train avg acc: 0.849068
Test 35, loss: 1.540999, test acc: 0.895057, test avg acc: 0.868802
Train 36, loss: 1.551909, train acc: 0.907675, train avg acc: 0.858566
Test 36, loss: 1.540717, test acc: 0.889789, test avg acc: 0.854331
Train 37, loss: 1.548690, train acc: 0.906861, train avg acc: 0.859892
Test 37, loss: 1.524987, test acc: 0.896677, test avg acc: 0.855721
Train 38, loss: 1.546811, train acc: 0.911645, train avg acc: 0.865765
Test 38, loss: 1.511287, test acc: 0.910859, test avg acc: 0.864802
Train 39, loss: 1.540677, train acc: 0.910525, train avg acc: 0.864029
Test 39, loss: 1.534779, test acc: 0.902755, test avg acc: 0.873727
Train 40, loss: 1.544376, train acc: 0.906759, train avg acc: 0.856469
Test 40, loss: 1.517901, test acc: 0.901135, test avg acc: 0.853506
Train 41, loss: 1.538360, train acc: 0.912663, train avg acc: 0.866992
Test 41, loss: 1.518002, test acc: 0.912885, test avg acc: 0.873535
Train 42, loss: 1.540289, train acc: 0.911747, train avg acc: 0.862972
Test 42, loss: 1.527437, test acc: 0.906402, test avg acc: 0.870209
Train 43, loss: 1.531351, train acc: 0.916226, train avg acc: 0.872401
Test 43, loss: 1.513147, test acc: 0.920583, test avg acc: 0.890994
Train 44, loss: 1.532312, train acc: 0.914495, train avg acc: 0.872002
Test 44, loss: 1.526433, test acc: 0.901135, test avg acc: 0.869994
Train 45, loss: 1.534571, train acc: 0.910932, train avg acc: 0.864636
Test 45, loss: 1.534035, test acc: 0.886143, test avg acc: 0.836262
Train 46, loss: 1.528407, train acc: 0.915004, train avg acc: 0.868683
Test 46, loss: 1.506410, test acc: 0.917342, test avg acc: 0.881878
Train 47, loss: 1.526619, train acc: 0.917651, train avg acc: 0.871924
Test 47, loss: 1.539452, test acc: 0.907212, test avg acc: 0.871837
Train 48, loss: 1.525561, train acc: 0.916022, train avg acc: 0.873072
Test 48, loss: 1.519687, test acc: 0.902350, test avg acc: 0.868884
Train 49, loss: 1.521203, train acc: 0.919992, train avg acc: 0.882414
Test 49, loss: 1.552516, test acc: 0.896677, test avg acc: 0.873878
Train 50, loss: 1.518707, train acc: 0.921112, train avg acc: 0.879215
Test 50, loss: 1.510973, test acc: 0.908428, test avg acc: 0.871302
Train 51, loss: 1.516677, train acc: 0.918058, train avg acc: 0.872589
Test 51, loss: 1.498656, test acc: 0.914911, test avg acc: 0.869203
Train 52, loss: 1.515393, train acc: 0.920501, train avg acc: 0.880639
Test 52, loss: 1.506762, test acc: 0.913290, test avg acc: 0.885959
Train 53, loss: 1.511586, train acc: 0.922129, train avg acc: 0.882549
Test 53, loss: 1.517351, test acc: 0.902755, test avg acc: 0.867547
Train 54, loss: 1.506719, train acc: 0.924471, train avg acc: 0.884644
Test 54, loss: 1.513396, test acc: 0.910859, test avg acc: 0.888576
Train 55, loss: 1.510641, train acc: 0.923147, train avg acc: 0.883542
Test 55, loss: 1.502226, test acc: 0.909643, test avg acc: 0.871459
Train 56, loss: 1.504099, train acc: 0.925285, train avg acc: 0.883887
Test 56, loss: 1.538792, test acc: 0.899919, test avg acc: 0.857581
Train 57, loss: 1.505667, train acc: 0.919992, train avg acc: 0.877367
Test 57, loss: 1.528123, test acc: 0.910454, test avg acc: 0.886535
Train 58, loss: 1.505072, train acc: 0.922537, train avg acc: 0.880666
Test 58, loss: 1.503437, test acc: 0.915316, test avg acc: 0.870547
Train 59, loss: 1.500102, train acc: 0.925590, train avg acc: 0.886281
Test 59, loss: 1.510341, test acc: 0.906807, test avg acc: 0.868395
Train 60, loss: 1.499958, train acc: 0.925489, train avg acc: 0.887271
Test 60, loss: 1.513796, test acc: 0.901540, test avg acc: 0.868047
Train 61, loss: 1.500781, train acc: 0.924572, train avg acc: 0.886197
Test 61, loss: 1.500869, test acc: 0.906807, test avg acc: 0.879512
Train 62, loss: 1.498860, train acc: 0.925794, train avg acc: 0.887131
Test 62, loss: 1.494357, test acc: 0.914506, test avg acc: 0.880622
Train 63, loss: 1.492394, train acc: 0.928441, train avg acc: 0.891148
Test 63, loss: 1.527193, test acc: 0.902755, test avg acc: 0.882238
Train 64, loss: 1.491991, train acc: 0.927728, train avg acc: 0.889142
Test 64, loss: 1.486377, test acc: 0.921799, test avg acc: 0.881872
Train 65, loss: 1.492308, train acc: 0.929255, train avg acc: 0.893671
Test 65, loss: 1.491146, test acc: 0.913290, test avg acc: 0.871279
Train 66, loss: 1.488734, train acc: 0.928441, train avg acc: 0.895440
Test 66, loss: 1.494736, test acc: 0.912885, test avg acc: 0.867244
Train 67, loss: 1.483914, train acc: 0.932614, train avg acc: 0.896769
Test 67, loss: 1.499969, test acc: 0.916532, test avg acc: 0.881419
Train 68, loss: 1.477023, train acc: 0.935464, train avg acc: 0.901742
Test 68, loss: 1.519570, test acc: 0.902350, test avg acc: 0.879331
Train 69, loss: 1.482966, train acc: 0.932512, train avg acc: 0.897494
Test 69, loss: 1.498173, test acc: 0.906402, test avg acc: 0.872006
Train 70, loss: 1.479897, train acc: 0.932309, train avg acc: 0.897190
Test 70, loss: 1.549330, test acc: 0.888574, test avg acc: 0.874651
Train 71, loss: 1.480803, train acc: 0.934650, train avg acc: 0.898646
Test 71, loss: 1.523638, test acc: 0.899919, test avg acc: 0.867529
Train 72, loss: 1.474618, train acc: 0.937296, train avg acc: 0.907065
Test 72, loss: 1.490504, test acc: 0.915316, test avg acc: 0.885645
Train 73, loss: 1.471686, train acc: 0.938518, train avg acc: 0.905596
Test 73, loss: 1.490388, test acc: 0.916126, test avg acc: 0.887512
Train 74, loss: 1.467715, train acc: 0.939230, train avg acc: 0.906807
Test 74, loss: 1.484522, test acc: 0.914506, test avg acc: 0.877622
Train 75, loss: 1.472212, train acc: 0.936584, train avg acc: 0.905093
Test 75, loss: 1.477505, test acc: 0.918558, test avg acc: 0.880419
Train 76, loss: 1.464531, train acc: 0.940147, train avg acc: 0.908744
