Namespace(batch_size=20, dataset_path='ModelNet40', dataset_type='modelnet', device='cuda:0', emb_dims=1024, epochs=200, eval=False, exp_name='exp_ipcrnet', num_points=1024, optimizer='Adam', pointnet='tune', pretrained='', resume='', seed=1234, start_epoch=0, symfn='max', workers=4)
EPOCH:: 1, Traininig Loss: 0.132034, Testing Loss: 0.113057, Best Loss: 0.113057
EPOCH:: 2, Traininig Loss: 0.094734, Testing Loss: 0.080374, Best Loss: 0.080374
EPOCH:: 3, Traininig Loss: 0.072277, Testing Loss: 0.061047, Best Loss: 0.061047
EPOCH:: 4, Traininig Loss: 0.061098, Testing Loss: 0.048089, Best Loss: 0.048089
EPOCH:: 5, Traininig Loss: 0.055146, Testing Loss: 0.056887, Best Loss: 0.048089
EPOCH:: 6, Traininig Loss: 0.049294, Testing Loss: 0.047112, Best Loss: 0.047112
EPOCH:: 7, Traininig Loss: 0.045512, Testing Loss: 0.041145, Best Loss: 0.041145
EPOCH:: 8, Traininig Loss: 0.041171, Testing Loss: 0.045314, Best Loss: 0.041145
EPOCH:: 9, Traininig Loss: 0.050243, Testing Loss: 0.100156, Best Loss: 0.041145
EPOCH:: 10, Traininig Loss: 0.070933, Testing Loss: 0.125304, Best Loss: 0.041145
EPOCH:: 11, Traininig Loss: 0.113713, Testing Loss: 0.106984, Best Loss: 0.041145
EPOCH:: 12, Traininig Loss: 0.109325, Testing Loss: 0.104972, Best Loss: 0.041145
EPOCH:: 13, Traininig Loss: 0.108790, Testing Loss: 0.107601, Best Loss: 0.041145
EPOCH:: 14, Traininig Loss: 0.106146, Testing Loss: 0.104348, Best Loss: 0.041145
EPOCH:: 15, Traininig Loss: 0.103300, Testing Loss: 0.098483, Best Loss: 0.041145
EPOCH:: 16, Traininig Loss: 0.102242, Testing Loss: 0.102602, Best Loss: 0.041145
EPOCH:: 17, Traininig Loss: 0.115175, Testing Loss: 0.107133, Best Loss: 0.041145
EPOCH:: 18, Traininig Loss: 0.106395, Testing Loss: 0.101851, Best Loss: 0.041145
EPOCH:: 19, Traininig Loss: 0.104768, Testing Loss: 0.101792, Best Loss: 0.041145
EPOCH:: 20, Traininig Loss: 0.105212, Testing Loss: 0.099475, Best Loss: 0.041145
EPOCH:: 21, Traininig Loss: 0.100713, Testing Loss: 0.095733, Best Loss: 0.041145
EPOCH:: 22, Traininig Loss: 0.120899, Testing Loss: 0.056937, Best Loss: 0.041145
EPOCH:: 23, Traininig Loss: 0.048538, Testing Loss: 0.040574, Best Loss: 0.040574
EPOCH:: 24, Traininig Loss: 0.039571, Testing Loss: 0.035685, Best Loss: 0.035685
EPOCH:: 25, Traininig Loss: 0.036247, Testing Loss: 0.031603, Best Loss: 0.031603
EPOCH:: 26, Traininig Loss: 0.047465, Testing Loss: 0.034926, Best Loss: 0.031603
EPOCH:: 27, Traininig Loss: 0.033182, Testing Loss: 0.032107, Best Loss: 0.031603
EPOCH:: 28, Traininig Loss: 0.035900, Testing Loss: 0.030397, Best Loss: 0.030397
EPOCH:: 29, Traininig Loss: 0.031767, Testing Loss: 0.038034, Best Loss: 0.030397
EPOCH:: 30, Traininig Loss: 0.036039, Testing Loss: 0.028127, Best Loss: 0.028127
EPOCH:: 31, Traininig Loss: 0.031742, Testing Loss: 0.039371, Best Loss: 0.028127
EPOCH:: 32, Traininig Loss: 0.033824, Testing Loss: 0.036018, Best Loss: 0.028127
EPOCH:: 33, Traininig Loss: 0.049689, Testing Loss: 0.030172, Best Loss: 0.028127
EPOCH:: 34, Traininig Loss: 0.029778, Testing Loss: 0.032157, Best Loss: 0.028127
EPOCH:: 35, Traininig Loss: 0.038241, Testing Loss: 0.036507, Best Loss: 0.028127
EPOCH:: 36, Traininig Loss: 0.033978, Testing Loss: 0.029606, Best Loss: 0.028127
EPOCH:: 37, Traininig Loss: 0.027237, Testing Loss: 0.026675, Best Loss: 0.026675
EPOCH:: 38, Traininig Loss: 0.029019, Testing Loss: 0.026410, Best Loss: 0.026410
EPOCH:: 39, Traininig Loss: 0.026281, Testing Loss: 0.023359, Best Loss: 0.023359
EPOCH:: 40, Traininig Loss: 0.029383, Testing Loss: 0.028541, Best Loss: 0.023359
EPOCH:: 41, Traininig Loss: 0.026708, Testing Loss: 0.024856, Best Loss: 0.023359
EPOCH:: 42, Traininig Loss: 0.023211, Testing Loss: 0.022710, Best Loss: 0.022710
EPOCH:: 43, Traininig Loss: 0.026940, Testing Loss: 0.026355, Best Loss: 0.022710
EPOCH:: 44, Traininig Loss: 0.025613, Testing Loss: 0.054558, Best Loss: 0.022710
EPOCH:: 45, Traininig Loss: 0.030651, Testing Loss: 0.025855, Best Loss: 0.022710
EPOCH:: 46, Traininig Loss: 0.023726, Testing Loss: 0.025550, Best Loss: 0.022710
EPOCH:: 47, Traininig Loss: 0.030620, Testing Loss: 0.029232, Best Loss: 0.022710
EPOCH:: 48, Traininig Loss: 0.026301, Testing Loss: 0.027510, Best Loss: 0.022710
EPOCH:: 49, Traininig Loss: 0.024818, Testing Loss: 0.030148, Best Loss: 0.022710
EPOCH:: 50, Traininig Loss: 0.022924, Testing Loss: 0.028365, Best Loss: 0.022710
EPOCH:: 51, Traininig Loss: 0.024954, Testing Loss: 0.036872, Best Loss: 0.022710
EPOCH:: 52, Traininig Loss: 0.024056, Testing Loss: 0.022789, Best Loss: 0.022710
EPOCH:: 53, Traininig Loss: 0.021554, Testing Loss: 0.021131, Best Loss: 0.021131
EPOCH:: 54, Traininig Loss: 0.024028, Testing Loss: 0.025700, Best Loss: 0.021131
EPOCH:: 55, Traininig Loss: 0.031103, Testing Loss: 0.024593, Best Loss: 0.021131
EPOCH:: 56, Traininig Loss: 0.033893, Testing Loss: 0.035062, Best Loss: 0.021131
EPOCH:: 57, Traininig Loss: 0.028645, Testing Loss: 0.021254, Best Loss: 0.021131
EPOCH:: 58, Traininig Loss: 0.027861, Testing Loss: 0.034598, Best Loss: 0.021131
EPOCH:: 59, Traininig Loss: 0.028774, Testing Loss: 0.021490, Best Loss: 0.021131
EPOCH:: 60, Traininig Loss: 0.020787, Testing Loss: 0.020750, Best Loss: 0.020750
EPOCH:: 61, Traininig Loss: 0.024709, Testing Loss: 0.027572, Best Loss: 0.020750
EPOCH:: 62, Traininig Loss: 0.022285, Testing Loss: 0.020819, Best Loss: 0.020750
EPOCH:: 63, Traininig Loss: 0.025234, Testing Loss: 0.024038, Best Loss: 0.020750
EPOCH:: 64, Traininig Loss: 0.021017, Testing Loss: 0.019929, Best Loss: 0.019929
EPOCH:: 65, Traininig Loss: 0.025015, Testing Loss: 0.025491, Best Loss: 0.019929
EPOCH:: 66, Traininig Loss: 0.028033, Testing Loss: 0.024362, Best Loss: 0.019929
EPOCH:: 67, Traininig Loss: 0.025978, Testing Loss: 0.023088, Best Loss: 0.019929
EPOCH:: 68, Traininig Loss: 0.024941, Testing Loss: 0.019315, Best Loss: 0.019315
EPOCH:: 69, Traininig Loss: 0.036310, Testing Loss: 0.030028, Best Loss: 0.019315
EPOCH:: 70, Traininig Loss: 0.024219, Testing Loss: 0.021006, Best Loss: 0.019315
EPOCH:: 71, Traininig Loss: 0.021298, Testing Loss: 0.023795, Best Loss: 0.019315
EPOCH:: 72, Traininig Loss: 0.021578, Testing Loss: 0.019311, Best Loss: 0.019311
EPOCH:: 73, Traininig Loss: 0.018863, Testing Loss: 0.018013, Best Loss: 0.018013
EPOCH:: 74, Traininig Loss: 0.018586, Testing Loss: 0.019757, Best Loss: 0.018013
EPOCH:: 75, Traininig Loss: 0.022397, Testing Loss: 0.017982, Best Loss: 0.017982
EPOCH:: 76, Traininig Loss: 0.019164, Testing Loss: 0.017920, Best Loss: 0.017920
EPOCH:: 77, Traininig Loss: 0.018671, Testing Loss: 0.018917, Best Loss: 0.017920
EPOCH:: 78, Traininig Loss: 0.020246, Testing Loss: 0.021040, Best Loss: 0.017920
EPOCH:: 79, Traininig Loss: 0.020542, Testing Loss: 0.018637, Best Loss: 0.017920
EPOCH:: 80, Traininig Loss: 0.024035, Testing Loss: 0.182431, Best Loss: 0.017920
EPOCH:: 81, Traininig Loss: 0.051901, Testing Loss: 0.033691, Best Loss: 0.017920
EPOCH:: 82, Traininig Loss: 0.031150, Testing Loss: 0.026755, Best Loss: 0.017920
EPOCH:: 83, Traininig Loss: 0.025962, Testing Loss: 0.025284, Best Loss: 0.017920
EPOCH:: 84, Traininig Loss: 0.024523, Testing Loss: 0.022102, Best Loss: 0.017920
EPOCH:: 85, Traininig Loss: 0.022505, Testing Loss: 0.020574, Best Loss: 0.017920
EPOCH:: 86, Traininig Loss: 0.020485, Testing Loss: 0.020584, Best Loss: 0.017920
EPOCH:: 87, Traininig Loss: 0.020988, Testing Loss: 0.022133, Best Loss: 0.017920
EPOCH:: 88, Traininig Loss: 0.019630, Testing Loss: 0.018773, Best Loss: 0.017920
EPOCH:: 89, Traininig Loss: 0.019907, Testing Loss: 0.020470, Best Loss: 0.017920
EPOCH:: 90, Traininig Loss: 0.019992, Testing Loss: 0.019482, Best Loss: 0.017920
EPOCH:: 91, Traininig Loss: 0.019514, Testing Loss: 0.020086, Best Loss: 0.017920
EPOCH:: 92, Traininig Loss: 0.025225, Testing Loss: 0.019700, Best Loss: 0.017920
EPOCH:: 93, Traininig Loss: 0.020192, Testing Loss: 0.037905, Best Loss: 0.017920
EPOCH:: 94, Traininig Loss: 0.020653, Testing Loss: 0.017289, Best Loss: 0.017289
EPOCH:: 95, Traininig Loss: 0.018758, Testing Loss: 0.022545, Best Loss: 0.017289
EPOCH:: 96, Traininig Loss: 0.021325, Testing Loss: 0.019542, Best Loss: 0.017289
EPOCH:: 97, Traininig Loss: 0.019205, Testing Loss: 0.017471, Best Loss: 0.017289
EPOCH:: 98, Traininig Loss: 0.021222, Testing Loss: 0.024184, Best Loss: 0.017289
EPOCH:: 99, Traininig Loss: 0.078757, Testing Loss: 0.090866, Best Loss: 0.017289
EPOCH:: 100, Traininig Loss: 0.087211, Testing Loss: 0.079484, Best Loss: 0.017289
EPOCH:: 101, Traininig Loss: 0.079988, Testing Loss: 0.076940, Best Loss: 0.017289
EPOCH:: 102, Traininig Loss: 0.077231, Testing Loss: 0.078331, Best Loss: 0.017289
EPOCH:: 103, Traininig Loss: 0.074265, Testing Loss: 0.071676, Best Loss: 0.017289
EPOCH:: 104, Traininig Loss: 0.071649, Testing Loss: 0.069539, Best Loss: 0.017289
EPOCH:: 105, Traininig Loss: 0.073833, Testing Loss: 0.069991, Best Loss: 0.017289
EPOCH:: 106, Traininig Loss: 0.069042, Testing Loss: 0.067904, Best Loss: 0.017289
EPOCH:: 107, Traininig Loss: 0.067840, Testing Loss: 0.071509, Best Loss: 0.017289
EPOCH:: 108, Traininig Loss: 0.066670, Testing Loss: 0.068162, Best Loss: 0.017289
EPOCH:: 109, Traininig Loss: 0.067506, Testing Loss: 0.067412, Best Loss: 0.017289
EPOCH:: 110, Traininig Loss: 0.073742, Testing Loss: 0.064510, Best Loss: 0.017289
EPOCH:: 111, Traininig Loss: 0.065212, Testing Loss: 0.069884, Best Loss: 0.017289
EPOCH:: 112, Traininig Loss: 0.063429, Testing Loss: 0.076627, Best Loss: 0.017289
EPOCH:: 113, Traininig Loss: 0.065861, Testing Loss: 0.061395, Best Loss: 0.017289
EPOCH:: 114, Traininig Loss: 0.076420, Testing Loss: 0.072040, Best Loss: 0.017289
EPOCH:: 115, Traininig Loss: 0.068562, Testing Loss: 0.068978, Best Loss: 0.017289
EPOCH:: 116, Traininig Loss: 0.072725, Testing Loss: 0.064668, Best Loss: 0.017289
EPOCH:: 117, Traininig Loss: 0.070741, Testing Loss: 0.069425, Best Loss: 0.017289
EPOCH:: 118, Traininig Loss: 0.063055, Testing Loss: 0.073741, Best Loss: 0.017289
EPOCH:: 119, Traininig Loss: 0.063276, Testing Loss: 0.060796, Best Loss: 0.017289
EPOCH:: 120, Traininig Loss: 0.071687, Testing Loss: 0.064952, Best Loss: 0.017289
EPOCH:: 121, Traininig Loss: 0.065865, Testing Loss: 0.064840, Best Loss: 0.017289
EPOCH:: 122, Traininig Loss: 0.079595, Testing Loss: 0.131784, Best Loss: 0.017289
EPOCH:: 123, Traininig Loss: 0.082287, Testing Loss: 0.074767, Best Loss: 0.017289
EPOCH:: 124, Traininig Loss: 0.073918, Testing Loss: 0.087813, Best Loss: 0.017289
EPOCH:: 125, Traininig Loss: 0.076475, Testing Loss: 0.067773, Best Loss: 0.017289
EPOCH:: 126, Traininig Loss: 0.086541, Testing Loss: 0.084243, Best Loss: 0.017289
EPOCH:: 127, Traininig Loss: 0.079331, Testing Loss: 0.074983, Best Loss: 0.017289
EPOCH:: 128, Traininig Loss: 0.079441, Testing Loss: 0.081553, Best Loss: 0.017289
EPOCH:: 129, Traininig Loss: 0.073699, Testing Loss: 0.071399, Best Loss: 0.017289
EPOCH:: 130, Traininig Loss: 0.070517, Testing Loss: 0.069885, Best Loss: 0.017289
EPOCH:: 131, Traininig Loss: 0.071485, Testing Loss: 0.077261, Best Loss: 0.017289
EPOCH:: 132, Traininig Loss: 0.073561, Testing Loss: 0.081381, Best Loss: 0.017289
EPOCH:: 133, Traininig Loss: 0.070543, Testing Loss: 0.070513, Best Loss: 0.017289
EPOCH:: 134, Traininig Loss: 0.065431, Testing Loss: 0.070795, Best Loss: 0.017289
EPOCH:: 135, Traininig Loss: 0.067365, Testing Loss: 0.085788, Best Loss: 0.017289
EPOCH:: 136, Traininig Loss: 0.079378, Testing Loss: 0.071349, Best Loss: 0.017289
EPOCH:: 137, Traininig Loss: 0.069665, Testing Loss: 0.068003, Best Loss: 0.017289
EPOCH:: 138, Traininig Loss: 0.068529, Testing Loss: 0.072463, Best Loss: 0.017289
EPOCH:: 139, Traininig Loss: 0.095010, Testing Loss: 0.076060, Best Loss: 0.017289
EPOCH:: 140, Traininig Loss: 0.076035, Testing Loss: 0.073614, Best Loss: 0.017289
EPOCH:: 141, Traininig Loss: 0.073773, Testing Loss: 0.073914, Best Loss: 0.017289
EPOCH:: 142, Traininig Loss: 0.074592, Testing Loss: 0.071991, Best Loss: 0.017289
EPOCH:: 143, Traininig Loss: 0.073327, Testing Loss: 0.075837, Best Loss: 0.017289
EPOCH:: 144, Traininig Loss: 0.072188, Testing Loss: 0.069251, Best Loss: 0.017289
EPOCH:: 145, Traininig Loss: 0.070235, Testing Loss: 0.076869, Best Loss: 0.017289
EPOCH:: 146, Traininig Loss: 0.069487, Testing Loss: 0.066857, Best Loss: 0.017289
EPOCH:: 147, Traininig Loss: 0.064024, Testing Loss: 0.064125, Best Loss: 0.017289
