Namespace(batch_size=32, dataset_path='/home/cobra/vinit/pointnetARS/../../ModelNet40/ModelNet40', dataset_type='modelnet', detailed_output=False, device='cuda:0', emb_dims=1024, epochs=200, eval=False, exp_name='exp_pcn', num_points=1024, optimizer='Adam', pretrained='', resume='', seed=1234, start_epoch=0, workers=4)
EPOCH:: 1, Traininig Loss: 0.078061, Testing Loss: 0.059210, Best Loss: 0.059210
EPOCH:: 2, Traininig Loss: 0.055011, Testing Loss: 0.051732, Best Loss: 0.051732
EPOCH:: 3, Traininig Loss: 0.049369, Testing Loss: 0.048134, Best Loss: 0.048134
EPOCH:: 4, Traininig Loss: 0.046692, Testing Loss: 0.045588, Best Loss: 0.045588
EPOCH:: 5, Traininig Loss: 0.044707, Testing Loss: 0.043828, Best Loss: 0.043828
EPOCH:: 6, Traininig Loss: 0.043311, Testing Loss: 0.043683, Best Loss: 0.043683
EPOCH:: 7, Traininig Loss: 0.042120, Testing Loss: 0.042176, Best Loss: 0.042176
EPOCH:: 8, Traininig Loss: 0.041300, Testing Loss: 0.041397, Best Loss: 0.041397
EPOCH:: 9, Traininig Loss: 0.040375, Testing Loss: 0.041345, Best Loss: 0.041345
EPOCH:: 10, Traininig Loss: 0.039835, Testing Loss: 0.041673, Best Loss: 0.041345
EPOCH:: 11, Traininig Loss: 0.039354, Testing Loss: 0.040279, Best Loss: 0.040279
EPOCH:: 12, Traininig Loss: 0.038872, Testing Loss: 0.039834, Best Loss: 0.039834
EPOCH:: 13, Traininig Loss: 0.038594, Testing Loss: 0.040412, Best Loss: 0.039834
EPOCH:: 14, Traininig Loss: 0.038018, Testing Loss: 0.039285, Best Loss: 0.039285
EPOCH:: 15, Traininig Loss: 0.037750, Testing Loss: 0.038818, Best Loss: 0.038818
EPOCH:: 16, Traininig Loss: 0.037272, Testing Loss: 0.040937, Best Loss: 0.038818
EPOCH:: 17, Traininig Loss: 0.037402, Testing Loss: 0.038583, Best Loss: 0.038583
EPOCH:: 18, Traininig Loss: 0.036618, Testing Loss: 0.038278, Best Loss: 0.038278
EPOCH:: 19, Traininig Loss: 0.036699, Testing Loss: 0.038146, Best Loss: 0.038146
EPOCH:: 20, Traininig Loss: 0.036426, Testing Loss: 0.037728, Best Loss: 0.037728
EPOCH:: 21, Traininig Loss: 0.035983, Testing Loss: 0.037457, Best Loss: 0.037457
EPOCH:: 22, Traininig Loss: 0.035916, Testing Loss: 0.037146, Best Loss: 0.037146
EPOCH:: 23, Traininig Loss: 0.035641, Testing Loss: 0.037431, Best Loss: 0.037146
EPOCH:: 24, Traininig Loss: 0.035767, Testing Loss: 0.037123, Best Loss: 0.037123
